name,platform,topics,schedule,social,contact,website_other,location,source_page
EMLN Exclusive (Early Morning Late Nights),YouTube & iTunes,Artist Interviews & Culture,Weekly,IG: @EMLNExclusive,Emlnexclusiveinfo@gmail.com,Linktr.ee/emlnexclusive,"San Jose, CA",40
David Sanya Podcast,YouTube & Spotify,Music Business,Varies,IG: @davidsanyabeats,-,davidsanyabeats.com,Not Available,40
No Labels Necessary,YouTube,Music Business & Artist Advice,Daily,IG: @nolabelsnecessary,Contrabrand.agency,BrandmanNetwork.com,Not Available,40
Music Is My Business Podcast,YouTube & iTunes,"Music Business for Artists, Producers, and Songwriters",Weekly,IG: @musicismybusiness podcast,-,IG: @clintmusic,Not Available,40
DIY Music Biz,Instagram,"How to Get Your Music on TV, Film, and Video Games",Not Specified,IG: @diymusicbiz,Contact Form,DIYmusicbiz.com,Not Available,40
No Label the Podcast,YouTube iTunes Spotify,Artist Interviews,Not Specified,IG @nolabelthepod,nolabelbuffalo@gmail.com,-,"Buffalo, NY",40
Super Duty Tough Work Podcast,YouTube iTunes Spotify,Music Business & Artist Advice,Not Specified,IG @superduty_toughwork,-,Linktree,Not Available,40
Free Music Empire,YouTube iTunes Spotify,Music Discussion & Debate,Weekly,IG @freemusicempire,-,Linktree freemusicempire.com,Not Available,40
Feelin Good Podcast,Youtube iTunes Spotify Instagram,"Interviews, New Music Promo & Showcase",Daily,IG @feelingoodpodcast,-,Linktree,Not Available,40
DOD45 Drawing Over Discussions,YouTube,Music Discussion & Music Business,Weekly,IG @dod45w,tai@dod45.com,-,Not Available,40
Bars Or None Show (UrbanCity Podcast),YouTube,Artist Showcase & Freestyles,Weekly,@barsornoneshow,Instagram DM,-,"Jackson, Mississippi",40
The One Way Show,YouTube & Instagram,Hip-Hop Culture,Weekly,@theonewayshow_1,Instagram DM,-,"Jackson, Mississippi",41
Chi-Native Radio,YouTube,Chicago Music scene,Tuesday Nights,@chinativeradio,idealraps.com/contact-us,idealraps.com/home,"Chicago, IL",41
History of The Bay Podcast,YouTube,Bay Area Culture & Artist Interviews,Not Specified,IG: @historyofthebay,-,@dregsOne,"San Francisco, CA",41
A Trip to the Corner Store,YouTube & Instagram,Artist Showcase,Daily/Weekly,@thecornerstorela,thecornerstoreisopen@gmail .com,TheCornerStore.LA,"Los Angeles, CA",41
Numainstream Radio,Website,Radio,Daily,@numainstream_radio,JustinTanks@numainstream. com,Numainstream.com,Not Available,41
DIY Musician Podcast,Website,Music Business Artist Advice,Not Specified,@kbreuner,-,Website,Not Available,41
The Unemployable Podcast,YouTube,"Artists, Creatives, and Entrepreneurs",-,@theunemployablepod,-,-,"Orlando, FL",41
Epic Tv,"YouTube , Website , Facebook",Artist Interviews,Fridays 8:30,@epictvmed_worldwide,EpicTVmedia22@gmail.com 480-702-4881 Don Stubbs,EpicTVmedia.com,Arizona,41
The Producer Lounge,YouTube,Producers & Beats for Arrists,7pm Thursdays,@the_producer_loun ge,,the-producer- lounge.com,Not Available,41
Urban Zone Radio,"Youtube, Instagram, Facebook,","Music, Artists Interviews, Music Business",Daily,@urbanzoneradio,contactus@urbanzoneradio. com,urbanzoneradio.com/ on-air,Not Available,41
Midtown Misfits,YouTube iTunes Spotify,Education,Every Sunday,@midtownmisfits_po dcast,midtown.misfits@gmail.com,"Notice: Music must not have any profanity Or degrading woman, drugs , murder, promoting sexual exploitation.",Not Available,41
MJMG Presents,"Roku, Fire stick, Apple TV, Facebook, Youtube, Twitch","Entertainment Industry, Live Interviews for Artists, Producers, Actors etc.",Monday Nights 7:30 PST,@Mz_Jackson_Media _Group,mjmgmusic1@gmail.com,Bringing you a worldwide platform streaming from Epic TV Media Worldwide. We bring an array of host that are excited to promote you through this platform.,"Bay Area, CA",41
One More Time Podcast,YouTube & Instagram,"Music Industry, Interviews & Services",Not Specified,@onemoretimecast,onemoretimecast@gmail.com,solo.to/ onemoretimecast,"Atlanta, GA",41
The Pre-Game Part Mix Podcast,"Apple Podcasts, Youtube, Spotify",Music Business,Weekly,IG @_djChase__,djchaseradio@gmail.com,www.djchase.net,"New York City, NY",41
The A&R Desk,Instagram (soon on all platforms),"Music Business, A&R consulting, Artist Advice, Label Opportunities & cash reward contests",Wednesdays 9:30 EST,IG @SpudBrooklyn,thedesk@spudbrooklyn.com,www.spudbrooklyn.com,"Brooklyn, NY",41
DJ Squirt Radio Show,"Youtube, Instagram, Facebook, Twitch","New music, Artist interviews, REAL TALK",Sundays 3-5pm EST,IG: @iamdjsquirt all platforms @thedjsquirtradioshow,iamdjsquirt@gmail.com,www.iamdjsquirt.com,"Cleveland, OH",41
Soul on Soul with Phinesse,podbean.com,Artist Interviews & Music,Sundays 10pm,IG @souonsoulwithphinesse X @SoulOnP,soulonsoulwithphinesse@g mail.com,www.mysoulradio.com,DMV,41
