id,country,state,city,school,station,frequency,emails,music_director,phone,website,address,ig_handles,station_type,genre_hints,submission_methods,flags,outreach_ease,show,notes_raw,source_page
S040,USA,CA,Monterey,California State University Monterey Bay,KAZU 90.3,90.3,programming@kazu.org,Mik Benedek,831-582-5298,kazu.org,"90.3 KAZU CSU Monterey Bay 100 Campus Center, Bldg. 201 Seaside, California 93955",nprmontereybay,public_npr,news_talk,email,,easy,Schedule,IG @nprmontereybay,14
S041,USA,CA,Moraga,Saint Mary’s College of California,KSMC 89.5,89.5,ksmc@stmarys-ca.edu,-,-,-,-,ksmc895fm,college,,email,,easy,-,IG @ksmc895fm,14
S042,USA,CA,Northridge,Saddleback College + California State University Northridge,SoCal 88.5,88.5,feedback@885fm.org,Andy Charley,818-677-7160,thesocalsound.org,"88.5 FM Radio ATTN: Music Director 18111 Nordhoff Street Northridge, CA 91330-8312",theSoCalSound,college,,email,,easy,Schedule,IG @theSoCalSound FB theSoCalSound,14
S043,USA,CA,Oakland,Peralta Community College,KGPC 96.9,96.9,kgpc969@gmail.com,Felicia Bridges,510-466-5351,kgpc969.org,"Peralta Community Radio / KGPC-LP 96.9fm 333 East 8th Street Oakland, Calif. 94606",kgpc_radio,college,,email,,easy,Schedule,"IG @kgpc_radio FB KGPC, Peralta Community College Radio",14
S044,USA,CA,Oakland,-,All In Radio,,thepowerhour2020@gmail.com,Gary Archer,510-695-4942,-,"960 Arlington Ave Oakland, CA 94609",legendgary; ALLiN_Radio,college,,email,,easy,-,IG @legendgary archer @ALLiN_Radio,14
S045,USA,CA,Pasadena,Pasadena City College,KPCC 89.3,89.3,,-,626-583-5100,kpcc.org,"Southern California Public Radio, PO Box 511489, Los Angeles, CA 90051-8044",KPCC,college,,,,hard,Schedule,IG @KPCC FB @KPCC,14
S046,USA,CA,Riverside,University of California Riverside,KUCR 88.3,88.3,kucrmusic@gmail.com,-,951-827-5827,kucr.org,"KUCR Radio University of California Riverside, CA 92521",kucr883fm; KUCR,college,,email,,easy,Schedule,IG @kucr883fm FB @KUCR,14
S047,USA,CA,Rancho Palos Verdes,Marymount California University,KMCU,,,-,-,-,-,honorflowprod,college,,,,hard,-,IG @honorflowprod uctions,14
S048,USA,CA,Sacramento,Sacramento State,KSSU,,music@kssu.com,-,916-278-3666,www.kssu.com,"KSSU Radio c/o Associated Students, Inc. 6000 J Street Sacramento, CA 95819-6011",kssusparky,college,,email,,easy,Schedule,IG @kssusparky,14
S049,USA,CA,Sacramento,California State University Sacramento,KXJZ 90.9,90.9,,-,916-278-8900,capradio.org,"Capital Public Radio 7055 Folsom Boulevard Sacramento, CA 95826-2625",CapRadio,college,,form,,medium,Schedule,IG @CapRadio Submission Form,14
S050,USA,CA,San Bernardino,California State University San Bernardino,Coyote Radio,,coyoteradio@gmail.com,-,909-537-5617,csusb.edu/ coyote-radio,-,coyote.radio,college,,email,,easy,-,IG @coyote.radio,14
S051,USA,CA,San Bernardino,San Bernardino Community College,KVCR 91.1,91.1,,-,909-384-4444,kvcrnews.org,"KVCR 701 S Mt Vernon Ave San Bernardino, CA 92410",kvcrpublicmedia,college,,form,,medium,Schedule Shows,IG @kvcrpublicmedia FB: KVCR Contact Form,14
S052,USA,CA,San Jose,San Jose State University,KSJS 90.5,90.5,alexdpfilmz@gmail.com; djcoffin805@gmail.com,Alex Pena,(408)924-5757,ksjs.org Contacts,"San Jose State University Hugh Gillis Hall Room 132 San Jose, CA 95192-0094",ksjsfm; ksjs.hiphop; radioaztlan90.5; san.josueeee; djcoffin_,college,hip-hop,email,,easy,Schedule,IG @ksjsfm @ksjs.hiphop @radioaztlan90.5 @san.josueeee @djcoffin_,14
S053,USA,CA,Salinas,-,KHDC 90.9,90.9,inbox@eme7.com,M7 aka EME7,(831)757-8039,radiobilingue.org,-,eme7,college,,email,,easy,Schedule,IG @eme7,14
S054,USA,CA,Santa Cruz,University of California Santa Cruz,KZSC 88.1,88.1,hiphop@kzsc.org,Michael Melaku,(831)-459-4036,kzsc.org,"KZSC Radio UC Santa Cruz 1156 High St. Santa Cruz,Ca 95060",kzsc,college,hip-hop,email,,easy,Schedule,IG @kzsc,14
S055,USA,CA,Santa Cruz,-,KPCR 101.9,101.9,info@kpcr.org; mneronava@gmail.com,M. Nero Nava,831-200-3391,kpcr.org,-,kpcrfm; m.neronava,college,,email,,easy,-,@kpcrfm @m.neronava,14
S056,USA,CA,Stanford,Stanford University,KZSU 90.1,90.1,music@kzsu.stanford.edu,"Brandon Rupp, Juan Luna-Avin, Bill Cuevas",(650)-725-4868,kzsu.stanford.edu Submission Guidelines,"KZSU Music P.O. Box 20510 Stanford, Ca 94301",kzsu,college,,form; email,,easy,Schedule,IG @kzsu,14
S057,USA,CA,San Diego,San Diego State University,KCR Radio,,kcr@sdsu.edu,student-ran,619-594-6982,kcr.sdsu.edu Submission Guidelines,-,kcrcollege,college,,form; email,,easy,Schedule,IG @kcrcollege radio,14
S058,USA,CA,San Diego,San Diego State University,KBPS 89.5 97.7 in Calexico,89.5,,-,619-594-1515,kbps.org Contact Form,"KPBS Public Media 5200 Campanile Drive San Diego, CA 92182",kbps,college,,form,,medium,Schedule,IG @kbps,14
S059,USA,CA,San Marcos,Palomar College,KKSM 1320,1320,info@palomarcollegeradio.com,-,760-736-8375,palomar.edu/ kksm/ Contact Form,"KKSM 1140 W. Mission Rd. San Marcos, CA 92069",kksmradio,college,,form; email,,easy,Schedule,IG @kksmradio FB KKSM Palomar College,15
S060,USA,CA,San Mateo,San Mateo Community College,KCSM 91.9,91.9,kcsmjazz@kcsm.net,-,650-524-6927,-,"1700 W Hillsdale Blvd, San Mateo, CA 94402",kcsmjazz91,college,jazz,email,,easy,-,Jazz IG @kcsmjazz91 FB KCSM Jazz 91.9,15
S061,USA,CA,Santa Barbara,University of California Santa Barbara,KCSB 91.9,91.9,dmc@kcsb.org; int.md@kcsb.org; ext.md@kcsb.org,-,805-893-2424,kcsb.org,"ATTN: Music Director KCSB-FM PO Box 13401 Santa Barbara, CA 93107-3401",kcsbfm,college,,email,,easy,Schedule,studio booking available IG @kcsbfm,15
S062,USA,CA,Santa Clara,Santa Clara University,KSCU 103.3,103.3,music@kscu.org,Abby Grimm,408-554-5728,kscu.org,-,kscuradio,college,,email,,easy,Schedule,IG @kscuradio,15
S063,USA,CA,Santa Clarita,California Institute of the Arts,KCIA Radio,,kcia@alum.calarts.edu,-,-,kcia.calarts.edu,,kciaradio,college,,email,,easy,Schedule,IG @kciaradio,15
S064,USA,CA,Santa Monica,Santa Monica College,KCRW 89.9,89.9,,-,424-538-8500,kcrw.com,"1900 Pico Blvd. Santa Monica, CA 90405",kcrwmusic; kcrw,college,,,,hard,Schedule Syndication List Contact Form,IG @kcrwmusic @kcrw Heavy syndication on many other stations,15
S065,USA,CA,San Francisco,University of San Francisco,KUSF,,kusfmusic@gmail.com,"Sade, Teresa",415-386-5873,kusf.org,"KUSF Music Dept. 2130 Fulton St. San Francisco, Ca 94117",kusforg,college,,physical; email,,easy,Schedule,IG @kusforg,15
S066,USA,CA,San Francisco,San Francisco State University,KSFS,,ksfs@sfsu.edu,-,415-338-2428,becamedia.net/ home/ksfsradio Submission Form,-,ksfsradio,college,,links_preferred; form; email,,easy,Schedule,IG @ksfsradio Links preferred,15
S067,USA,CA,San Francisco,City College of San Francisco,KCSF 90.9,90.9,kcsf@ccsf.edu,-,-,ccsf.edu,-,,college,,email,,easy,-,,15
S068,USA,CA,San Francisco,-,KPOO 89.5,89.5,,JJ & Dezz,415-346-5373,kpoo.com,"KPOO 89.5 FM 1329 Divisadero San Francisco, CA 94115",dezzdmh,college,,,,hard,Schedule,IG @dezzdmh,15
S069,USA,CA,San Luis Obispo,California Polytechnic State University,KCPR 91.3,91.3,music@kcpr.org,Ian,805-756-2965,kcpr.org,"KCPR Building 26, Room 301 California Polytechnic State University 1 Grand Ave. San Luis Obispo, CA 93407",kcpr913,college,,email,,easy,Schedule,IG @kcpr913,15
S070,USA,CA,Thousand Oaks,California Lutheran University,KCLU 88.3,88.3,molson@kclu.org,Mary Olson,805-493-3900,kclu.org,"60 W. Olsen Rd #4400 Thousand Oaks, CA 91360",kcluradio,college,,email,,easy,Schedule,IG @kcluradio,15
S071,USA,CA,Turlock,California State University Turlock,KCSS 91.9,91.9,kcssmd@gmail.com,Roberto Herrera,209-667-3378,kcss.net,-,kcss91.9,college,,email,,easy,Schedule,IG @kcss91.9 They also have a podcast,15
S072,USA,CA,Walnut,Mt. San Antonio College,Mt Rock 90.1,90.1,jshiff@mtsac.edu,Jason Shiff,909-274-4619,mtsac.edu/radio/ mtrock,"Radio Program Mt. San Antonio College 1100 N. Grand Ave Walnut, CA 91789",mtrock90.1,college,,email,,easy,-,IG @mtrock90.1,15
S073,USA,CO,Boulder,University of Colorado Boulder,KVCU 1190,1190,music@1190.radio; localshakedown@1190.radio,Bella Mahlerbe Luke Crumplar,303-492-1190,radio1190.net,"Campus Box 207 University of Colorado Boulder Boulder, CO 80309-0207",radio1190,college,,email,albums_only,easy,Schedule Shows,"IG @radio1190 No singles, Full albums only",15
S074,USA,CO,Colorado Springs,United States Air Force Academy,KAFA 97.7,97.7,KAFA.FM@afacademy.af.edu,-,719-333-5232,usafa.edu/radio,-,,college,,email,,easy,-,-,15
S075,USA,CO,Denver,Metropolitan State University of Denver,MET RADIO,,,-,303-615-0155,mymetmedia.com,"MSU Denver Met Media Campus Box 57, P.O. Box 173362 Denver, CO 80217-3362",,college,,,,hard,Schedule,-,15
S076,USA,CO,Denver,Regis University,KRCX 1530,1530,krcxmd@regis.edu,-,303-625-1261,krcx.org,"KRCX Regis University Radio 3333 Regis Blvd. Denver, CO 80221",kcrx,college,,email,,easy,Schedule,IG @kcrx,15
S077,USA,CO,Durango,Fort Lewis College,KDUR 91.9,91.9,kdur_st1@fortlewis.edu; kdur@fortlewis.edu,Douglas Dupont,970-247-7262,kdur.org,"KDUR - 91.9/93.9 FM Fort Lewis College Community Radio 1000 Rim Drive Durango, Colorado 81301",kdurradio,college,,email,,easy,Schedule,IG @kdurradio,15
S078,USA,CO,Fort Collins,Colorado State University,KCSU 90.5,90.5,music@kcsufm.com,-,970-491-1695,kcsufm.com,"KCSU Music ATTN: Brighid Bandel Room 118, Lory Student Center Colorado State University Fort Collins, CO 80523",kcsufm,college,,email,,easy,Schedule,IG @kcsufm best bet by mailing album,15
S079,USA,CO,Grand Junction,Colorado Mesa University,KMSA 91.3,91.3,jgrichardson@mavs.coloradome,-,-,coloradomesa.presen ce.io/organization/ kmsa-91-3-fm,-,kmsa913fm,college,,email,,easy,-,IG @kmsa913fm,15
S080,USA,CO,Gunnison,Western State College of Colorado,KWSB 91.1,91.1,,-,970-943-3222,kwsb.org,-,kwsb91.1,college,,,,hard,-,IG @kwsb91.1,15
S081,USA,CT,Danbury,Western Connecticut State University,WXCI 91.7,91.7,carlonep@wcsu.edu,-,203-837-9924,wxci.wcsu.edu/,"Western Connecticut State University ATTN: RADIO STATION WXCI 181 White Street Danbury, CT USA 06810",wxci_91.7,college,,email,,easy,Schedule,IG @wxci_91.7,15
S082,USA,CT,Fairfield,Fairfield University,WVOF 88.5,88.5,,-,-,wvof.org Contact Form,"1073 North Benson Rd Fairfield University Fairfield, CT",wvofradio,college,,form,,medium,Schedule,IG @wvofradio,16
S083,USA,CT,Fairfield,Sacred Heart University,WSHU 91.1,91.1,,-,203-365-6604,wshu.org,"5151 Park Avenue Fairfield, CT 06825",wshupublicradio,college,,,,hard,Schedule,IG @wshupublicradio,16
S084,USA,CT,Hamden,Quinnipiac University,WQAQ 98.1,98.1,wqaqradio@gmail.com,-,203-582-5555,wqaq.com,"275 Mt Carmel Ave Hamden, CT 06518, USA",wqaqradio,college,,email,,easy,-,IG @wqaqradio,16
S085,USA,CT,Hartford,Trinity College,WRTC 89.3,89.3,crabla@aol.com; marcushrtfrd@hotmail.com; flmcnutt@yahoo.com; lornadiane@myyahoo.com; steveraf@aol.com; henryhbee@aol.com,-,860-297-2450,wrtcfm.com,"WRTC Radio Attn: [position name] 300 Summit St. Hartford, CT 06106-3100",wrtcfm,college,jazz; latin; christian,email,,easy,Schedule,IG @wrtcfm,16
S086,USA,CT,Middletown,Wesleyan University,WESU 88.1,88.1,,-,860-685-7703,wesufm.org,"WESU 88.1 45 Broad St, 2nd Floor Middletown, Connecticut",wesufm,college,,,,hard,Schedule,IG @wesufm,16
S087,USA,CT,New Britain,Central Connecticut State University,WFCS 107.7,107.7,pr@wfcsradio.com,-,860-832-1883,wfcsradio.com,"WFCS 107.7 fm 105 Ella Grasso Blvd, New Britain, Connecticut",wfcsradio,college,,email,,easy,Schedule,IG @wfcsradio,16
S088,USA,CT,New Haven,University of New Haven,WNHU 88.7,88.7,wnhu@newhaven.edu,-,203-444-3953,wnhu.org,-,88.7wnhu,college,,email,,easy,Schedule,IG @88.7wnhu,16
S089,USA,CT,New Haven,Southern Connecticut State University,WSIN 1590,1590,wsinradio@gmail.com,-,203-392-6930,wsinradio.org,-,wsinradio,college,,email,,easy,-,IG @wsinradio,16
S090,USA,CT,New London,Connecticut College,WCNI 90.9,90.9,wcnimusdir@gmail.com,-,860-439-2850,wcniradio.org,WCNI Connecticut College 270 Mohegan Avenue New London CT 06320,wcniradio,college,,email,,easy,Schedule,IG @wcniradio,16
S091,USA,CT,Storrs,University of Connecticut,WHUS 91.7,91.7,musicdirector@whus.org,-,860-486-9487,whus.org,-,,college,,email,,easy,Schedule,"Sat 10-12, Tues 11-12, Thurs 10-11",16
S092,USA,CT,West Hartford,University of Hartford,WWUH 91.3,91.3,wwuh@hartford.edu,-,860-768-4701,wwuh.org Contacts Page,"WWUH Radio University of Hartford 200 Bloomfield Ave. West Hartford, CT 06117",,college,,email,,easy,Schedule,For specific genres check Contacts Page ->,16
S093,USA,CT,West Hartford,University of Hartford,WSAM Radio,,wsammusicdir@gmail.com,-,203-598-6069,-,"WSAM 200 Bloomfield Ave, University Commons, West Hartford, CT 06117",wsamradio,college,,email,,easy,-,IG @wsamradio,16
S094,USA,CT,Willimantic,Eastern Connecticut State University,WECS 90.1,90.1,,-,860-465-5354 call before submitting,wecsfm.com,-,wecsfm,college,,,,hard,Schedule,IG @wecsfm,16
S095,USA,DE,Newark,University of Delaware,WVUD 91.3,91.3,wvudmusic@gmail.com; teamnitty@gmail.com,Franco,-,wvud.org,"WVUD Perkins Student Center 325 Academy Street Newark, DE 1971",wvudradio,college,,email,,easy,Schedule,IG @wvudradio,16
S096,USA,DC,Washington,American University,WAMU 88.5,88.5,,-,202-885-1200,wamu.org Contact Form,"WAMU 88.5 FM American University PO Box 98101 Washington, DC 20090",wamu885,college,,form,,medium,Schedule,IG @wamu885,16
S097,USA,DC,Washington,Georgetown University,WGTB,,music@georgetownradio.co; media@georgetownradio.com,Tony Lioon,-,georgetownradio. com,"432 Leavey Center Georgetown University Washington, DC 20057",georgetownra,college,,email,,easy,Schedule,IG @georgetownra dio,16
S098,USA,DC,Washington,Howard University,WHUR 96.3,96.3,programming@whur.com,Traci LaTrelle,202-806-3500,whur.com,"529 Bryant Street NW Washington, DC 20059",whurfm,college,,email,,easy,Schedule,IG @whurfm,16
S099,USA,DC,Washington,Howard University,WHBC 96.3,96.3,gm.whbc@gmail.com,-,-,whbc963hd3.com,-,whbc_howardu,college,,email,,easy,-,IG @whbc_howardu,16
S100,USA,DC,Washington,George Washington University,WRGW District Radio,,music@gwradio.com,Carolina,-,gwradio.com,-,wrgwlive; wrgwmusic,college,,email,,easy,Schedule,IG @wrgwlive @wrgwmusic in-studio performances available,16
S101,USA,FL,Daytona Beach,Embry-Riddle Aeronautical University,WIKD 102.5,102.5,music.director@wikd1025.com,Carter Bitz,386-226-7056,wikd1025.com,"The WIKD 102.5 F M 1 Aerospace Blvd, Daytona Beach, FL 32693",wikd1025,college,,form; email,,easy,Schedule,IG @wikd1025 Submission Form,16
S102,USA,FL,Melbourne,Florida Tech,WFIT 89.5,89.5,syasko@fit.edu; wfit@fit.edu,Steve Yasko,321-674-8950 321-674-8949,wfit.org,"WFIT 89.5 FM Florida Institute of Technology 150 W. University Blvd. Melbourne, FL 32901",wfit895fm,college,,email,,easy,Schedule,IG @wfit895fm,16
S103,USA,FL,Miami,University of Miami,WVUM 90.5,90.5,md@wvum.org,Steffi Rangel,786-309-8861,wvum.org,"PO Box 248191 Coral Gables, FL 33124",wvum905,college,,email,,easy,Schedule,IG @wvum905,16
S104,USA,FL,Miami,-,Blaze 88.7fm,88.7,radiopushers@gmail.com,,310-870-3300,-,-,dablazefm; 88.7fm,college,,email,,easy,-,IG @dablazefm @88.7fm,16
S105,USA,FL,Miami,Florida International University,WRGP The Roar Radio,,theroar.miami.fiu@gmail.com,-,305-348-3575,panthernow.com/ theroar,"11200 SW 8th St. Modesto Maidique Campus, GC-210 Miami, FL 33199",theroarfiu,college,,email,,easy,Schedule,IG @theroarfiu,16
